trans_id,lang,translation
中津川市,ja,中津川市
中津川市,ja-Hrkt,なかつがわし
中津川市,en,Nakatsugawa City
１１号区公会堂,ja,１１号区公会堂
１１号区公会堂,ja-Hrkt,じゅういちごうくこうかいどう
１１号区公会堂,en,Jyuichigouku koukaido
４－１詰所,ja,４－１詰所
４－１詰所,ja-Hrkt,よんのいちつめしょ
４－１詰所,en,younoichi tsumesho
５号区クラブ,ja,５号区クラブ
５号区クラブ,ja-Hrkt,ごごうくくらぶ
５号区クラブ,en,Gogouku kurabu
６号区公会堂,ja,６号区公会堂
６号区公会堂,ja-Hrkt,ろくごうくこうかいどう
６号区公会堂,en,Rokugouku koukaido
８号区公会堂,ja,８号区公会堂
８号区公会堂,ja-Hrkt,はちごうくこうかいどう
８号区公会堂,en,Hachigouku kokaido
９区集会所,ja,９区集会所
９区集会所,ja-Hrkt,きゅうくしゅうかいじょ
９区集会所,en,Kyuku shukaijo
JA付知支店,ja,JA付知支店
JA付知支店,ja-Hrkt,じぇいえいつけちしてん
JA付知支店,en,JA Tsukechishiten
JA加子母支店,ja,JA加子母支店
JA加子母支店,ja-Hrkt,じぇいえいかしもしてん
JA加子母支店,en,JA Kashimoshiten
JA大門支店,ja,JA大門支店
JA大門支店,ja-Hrkt,じぇいえいだいもんしてん
JA大門支店,en,JA Daimonshiten
JA落合支店,ja,JA落合支店
JA落合支店,ja-Hrkt,じぇいえいおちあいしてん
JA落合支店,en,JA Ochiaishiten
JA蛭川支店,ja,JA蛭川支店
JA蛭川支店,ja-Hrkt,じぇいえいひるかわしてん
JA蛭川支店,en,JA Hirukawashiten
JA阿木支店,ja,JA阿木支店
JA阿木支店,ja-Hrkt,じぇいえいあぎしてん
JA阿木支店,en,JA Agishiten
JR陸橋,ja,JR陸橋
JR陸橋,ja-Hrkt,じぇいあーるりっきょう
JR陸橋,en,JR Rikkyo
アトラ,ja,アトラ
アトラ,ja-Hrkt,あとら
アトラ,en,Atora
あらた,ja,あらた
あらた,ja-Hrkt,あらた
あらた,en,Arata
いわくら,ja,いわくら
いわくら,ja-Hrkt,いわくら
いわくら,en,Iwakura
お不動様,ja,お不動様
お不動様,ja-Hrkt,おふどうさま
お不動様,en,Ofudousama
かやの木,ja,かやの木
かやの木,ja-Hrkt,かやのき
かやの木,en,Kayanoki
げんねしばら,ja,げんねしばら
げんねしばら,ja-Hrkt,げんねしばら
げんねしばら,en,Gen-neshibara
さのや,ja,さのや
さのや,ja-Hrkt,さのや
さのや,en,Sanoya
シクラメン,ja,シクラメン
シクラメン,ja-Hrkt,しくらめん
シクラメン,en,Shikuramen
スクールバス発着所,ja,スクールバス発着所
スクールバス発着所,ja-Hrkt,すくーるばすはっちゃくじょ
スクールバス発着所,en,School bus hacchakujo
つげ石材,ja,つげ石材
つげ石材,ja-Hrkt,つげせきざい
つげ石材,en,Tsuge sekizai
てんりょう,ja,てんりょう
てんりょう,ja-Hrkt,てんりょう
てんりょう,en,Tenryo
どうだぶち,ja,どうだぶち
どうだぶち,ja-Hrkt,どうだぶち
どうだぶち,en,Doudabuchi
ひょうたん山前,ja,ひょうたん山前
ひょうたん山前,ja-Hrkt,ひょうたんやままえ
ひょうたん山前,en,Hyotan-yama-mae
ふれあい広場,ja,ふれあい広場
ふれあい広場,ja-Hrkt,ふれあいひろば
ふれあい広場,en,Hureai hiroba
プレカット,ja,プレカット
プレカット,ja-Hrkt,ぷれかっと
プレカット,en,Purekatto
ふんどし岩,ja,ふんどし岩
ふんどし岩,ja-Hrkt,ふんどしいわ
ふんどし岩,en,Fundoshiiwa
ます池,ja,ます池
ます池,ja-Hrkt,ますいけ
ます池,en,Masuike
みお医院,ja,みお医院
みお医院,ja-Hrkt,みおいいん
みお医院,en,Mio iin
みはらし台辻,ja,みはらし台辻
みはらし台辻,ja-Hrkt,みはらしだいつじ
みはらし台辻,en,Miharashidai tsuji
みはらし台運動公園,ja,みはらし台運動公園
みはらし台運動公園,ja-Hrkt,みはらしだいうんどうこうえん
みはらし台運動公園,en,Miharashidai undo koen
やすらぎ荘前,ja,やすらぎ荘前
やすらぎ荘前,ja-Hrkt,やすらぎそうまえ
やすらぎ荘前,en,Yasuragisou-mae
ライスセンター,ja,ライスセンター
ライスセンター,ja-Hrkt,らいすせんたー
ライスセンター,en,Rice Center
一之瀬東班口,ja,一之瀬東班口
一之瀬東班口,ja-Hrkt,いちのせひがしはんぐち
一之瀬東班口,en,Ichinose higashihan guchi
一色公民館,ja,一色公民館
一色公民館,ja-Hrkt,いっしきこうみんかん
一色公民館,en,Isshiki kouminkan
一谷那木,ja,一谷那木
一谷那木,ja-Hrkt,いちやなぎ
一谷那木,en,Ichiyanagi
万松軒,ja,万松軒
万松軒,ja-Hrkt,ばんしょうけん
万松軒,en,Banshoken
万賀の辻,ja,万賀の辻
万賀の辻,ja-Hrkt,まんがのつじ
万賀の辻,en,Manga no tsuji
三五沢上,ja,三五沢上
三五沢上,ja-Hrkt,さんごさわうえ
三五沢上,en,Sangosawa-ue
三屋前,ja,三屋前
三屋前,ja-Hrkt,みつやまえ
三屋前,en,Mitsuya-mae
上ノ山浄水場下,ja,上ノ山浄水場下
上ノ山浄水場下,ja-Hrkt,うえのやまじょうすいじょうした
上ノ山浄水場下,en,Uenoyama josuijo
上与坂,ja,上与坂
上与坂,ja-Hrkt,かみよさか
上与坂,en,Kamiyosaka
上与坂大橋,ja,上与坂大橋
上与坂大橋,ja-Hrkt,かみよさかおおはし
上与坂大橋,en,Kamiyosaka ohashi
上之平,ja,上之平
上之平,ja-Hrkt,うえのたいら
上之平,en,Uenotaira
上之平堤下,ja,上之平堤下
上之平堤下,ja-Hrkt,うえのたいらつつみした
上之平堤下,en,Uenotaida tsutsumi-shita
上外,ja,上外
上外,ja-Hrkt,かみそで
上外,en,Kamisode
上大起,ja,上大起
上大起,ja-Hrkt,かみおごせ
上大起,en,Kamiogose
上握,ja,上握
上握,ja-Hrkt,かみにぎり
上握,en,Kaminigiri
上海戸,ja,上海戸
上海戸,ja-Hrkt,うえがいと
上海戸,en,Uegaito
上真原,ja,上真原
上真原,ja-Hrkt,かみさなわら
上真原,en,Kamisanawara
上砂護地谷,ja,上砂護地谷
上砂護地谷,ja-Hrkt,かみしゃごじだに
上砂護地谷,en,Kamishagojidani
上野口,ja,上野口
上野口,ja-Hrkt,うえのぐち
上野口,en,Uenoguchi
上鐘入口,ja,上鐘入口
上鐘入口,ja-Hrkt,うえがねいりぐち
上鐘入口,en,Uegane iriguchi
上鐘出口,ja,上鐘出口
上鐘出口,ja-Hrkt,うえがねでぐち
上鐘出口,en,Uegane deguchi
下外公会堂,ja,下外公会堂
下外公会堂,ja-Hrkt,しもそでこうかいどう
下外公会堂,en,Shimosode koukaido
下小野沢,ja,下小野沢
下小野沢,ja-Hrkt,しもおのさわ
下小野沢,en,Shimo onosawa
下山野田,ja,下山野田
下山野田,ja-Hrkt,しもやまのた
下山野田,en,Shimo yamanota
下島（加子母）,ja,下島（加子母）
下島（加子母）,ja-Hrkt,しもじま
下島（加子母）,en,Shimojima
下島（坂下）,ja,下島（坂下）
下島（坂下）,ja-Hrkt,したじま
下島（坂下）,en,Shitajima
下広岡燈籠場,ja,下広岡燈籠場
下広岡燈籠場,ja-Hrkt,しもひろおかとうろうば
下広岡燈籠場,en,Shimo hirooka tourouba
下握,ja,下握
下握,ja-Hrkt,しもにぎり
下握,en,Shimonigiri
下浦,ja,下浦
下浦,ja-Hrkt,しもうれ
下浦,en,Shimoure
下浦集会所,ja,下浦集会所
下浦集会所,ja-Hrkt,しもうれしゅうかいじょ
下浦集会所,en,Shimoure shukaijo
下羽根,ja,下羽根
下羽根,ja-Hrkt,しもはね
下羽根,en,Shimohane
下落合,ja,下落合
下落合,ja-Hrkt,しもおちあい
下落合,en,Shimo ochiai
下野口,ja,下野口
下野口,ja-Hrkt,しものぐち
下野口,en,Shimonoguchi
両伝寺,ja,両伝寺
両伝寺,ja-Hrkt,りょうでんじ
両伝寺,en,ryodenji
中上一,ja,中上一
中上一,ja-Hrkt,なかがみいち
中上一,en,Nakagami ichi
中上二,ja,中上二
中上二,ja-Hrkt,なかがみに
中上二,en,Nakagami ni
中之垣外,ja,中之垣外
中之垣外,ja-Hrkt,なかのがいと
中之垣外,en,Nakanogaito
中原,ja,中原
中原,ja-Hrkt,なかはら
中原,en,Nakahara
中外公会堂,ja,中外公会堂
中外公会堂,ja-Hrkt,なかそでこうかいどう
中外公会堂,en,Nakasode koukaido
中学校前,ja,中学校前
中学校前,ja-Hrkt,ちゅうがっこうまえ
中学校前,en,Chugakko-mae
中尾,ja,中尾
中尾,ja-Hrkt,なかお
中尾,en,Nakao
中屋,ja,中屋
中屋,ja-Hrkt,なかや
中屋,en,Nakaya
中島,ja,中島
中島,ja-Hrkt,なかしま
中島,en,Nakashima
中川医院,ja,中川医院
中川医院,ja-Hrkt,なかがわいいん
中川医院,en,Nakagawa iin
中田集会所,ja,中田集会所
中田集会所,ja-Hrkt,なかたしゅうかいじょ
中田集会所,en,Nakata shukaijo
中組,ja,中組
中組,ja-Hrkt,なかぐみ
中組,en,Nakagumi
中野,ja,中野
中野,ja-Hrkt,なかの
中野,en,Nakano
丸山バス停,ja,丸山バス停
丸山バス停,ja-Hrkt,まるやまばすてい
丸山バス停,en,Maruyama basutei
久須田クラブ,ja,久須田クラブ
久須田クラブ,ja-Hrkt,くすだくらぶ
久須田クラブ,en,Kusuda kurabu
二本松,ja,二本松
二本松,ja-Hrkt,にほんまつ
二本松,en,Nihonmatsu
二渡橋西,ja,二渡橋西
二渡橋西,ja-Hrkt,にとばしにし
二渡橋西,en,Nitobashi-nishi
二股,ja,二股
二股,ja-Hrkt,ふたまた
二股,en,Hutamata
井口電気前,ja,井口電気前
井口電気前,ja-Hrkt,いぐちでんきまえ
井口電気前,en,Iguchidenki-mae
井汲,ja,井汲
井汲,ja-Hrkt,いぐみ
井汲,en,Igumi
付知B&G海洋センター,ja,付知B&G海洋センター
付知B&G海洋センター,ja-Hrkt,つけちびーあんどじーかいようせんたー
付知B&G海洋センター,en,Tsukechi B&G Kaiyo center
